Week,Workout,Gym Exercise,Travel Exercise,# Sets
3,Lower Body B,Leg Extension Machine or Goblet Step-Ups,Bodyweight Step-Ups or Sissy Squats,3
3,Lower Body B,Farmer's Carries,Loaded Water Jug / Backpack Carries,3
3,Bonus Upper,Dumbbell or Barbell Shrugs,Backpack Shrugs,3
3,Bonus Upper,Straight-Arm Pulldowns or Dumbbell Pullovers,Floor Pullovers or Towel Straight-Arm Pulls,3
3,Bonus Upper,Lying Triceps Extensions (Skull Crushers),Close-Grip Push-Ups or Backpack Skull Crushers,3
3,Bonus Upper,Hammer Curls,Backpack Hammer Curls,3
3,Bonus Upper,Reverse Wrist Curls,Backpack Reverse Wrist Curls,3
3,Bonus Upper,Dead Bugs,Dead Bugs,3
4,Upper Body A,Barbell or Dumbbell Bench Press,Push-Ups / Incline Push-Ups,3
4,Upper Body A,Single-Arm Dumbbell Rows,Towel Door Rows or Table Inverted Rows,3
4,Upper Body A,Overhead Dumbbell Shoulder Press,Pike Push-Ups,3
4,Upper Body A,Lat Pulldowns or Cable Rows,Doorframe Towel Rows or Sliding Floor Lat Pulls,3
4,Upper Body A,Triceps Cable Pushdowns or Overhead Extensions,Bench Dips or Bodyweight Triceps Extensions,4
4,Upper Body A,Plank Hold,Plank Hold,3
4,Lower Body A,Pallof Press,Side Plank or Towel ISO Press,3
4,Lower Body A,Barbell Back Squats or Goblet Squats,Bodyweight Squats or Tempo Squats,3
4,Lower Body A,Romanian Deadlifts (RDLs),Bodyweight Single-Leg RDLs,3
4,Lower Body A,Walking Lunges,Bodyweight Walking or Reverse Lunges,3
4,Lower Body A,Leg Curl Machine or Swiss Ball Hamstring Curls,Hamstring Walkouts,3
4,Lower Body A,Standing Calf Raises,Single-Leg Bodyweight Calf Raises,4
4,Upper Body B,Incline Dumbbell Bench Press,Push-Ups / Incline Push-Ups,3
4,Upper Body B,Barbell or Chest-Supported Rows,Towel Door Rows or Table Inverted Rows,3
4,Upper Body B,Dumbbell Lateral Raises,Wall Lateral ISO Raises or Backpack Raises,3
4,Upper Body B,Face Pulls,Doorframe Rear Delt Flyes / Prone Y-T-W Raises,3
4,Upper Body B,Dumbbell Biceps Curls,Doorframe ISO Curls or Loaded Backpack Curls,4
4,Upper Body B,Dead Bugs,Dead Bugs,3
4,Lower Body B,Hanging Knee Raises or Ab Wheel Rollouts,Floor Leg Raises or Bodyweight Wall Rollouts,3
4,Lower Body B,Trap Bar Deadlifts or Barbell Conventional Deadlifts,Single-Leg Good Mornings or Heavy Object Deadlifts,3
4,Lower Body B,Bulgarian Split Squats,Bodyweight Bulgarian Split Squats,3
4,Lower Body B,Barbell Hip Thrusts or Glute Bridges,Single-Leg Glute Bridges,3
4,Lower Body B,Leg Extension Machine or Goblet Step-Ups,Bodyweight Step-Ups or Sissy Squats,3
4,Lower Body B,Farmer's Carries,Loaded Water Jug / Backpack Carries,4
4,Bonus Upper,Dumbbell or Barbell Shrugs,Backpack Shrugs,3
4,Bonus Upper,Straight-Arm Pulldowns or Dumbbell Pullovers,Floor Pullovers or Towel Straight-Arm Pulls,3
4,Bonus Upper,Lying Triceps Extensions (Skull Crushers),Close-Grip Push-Ups or Backpack Skull Crushers,3
4,Bonus Upper,Hammer Curls,Backpack Hammer Curls,3
4,Bonus Upper,Reverse Wrist Curls,Backpack Reverse Wrist Curls,3
4,Bonus Upper,Side Plank,Side Plank,3
5,Upper Body A,Plank Hold,Plank Hold,3
5,Upper Body A,Barbell or Dumbbell Bench Press,Push-Ups / Incline Push-Ups,3
5,Upper Body A,Single-Arm Dumbbell Rows,Towel Door Rows or Table Inverted Rows,3
5,Upper Body A,Overhead Dumbbell Shoulder Press,Pike Push-Ups,3
5,Upper Body A,Lat Pulldowns or Cable Rows,Doorframe Towel Rows or Sliding Floor Lat Pulls,3
5,Upper Body A,Triceps Cable Pushdowns or Overhead Extensions,Bench Dips or Bodyweight Triceps Extensions,3
5,Lower Body A,Barbell Back Squats or Goblet Squats,Bodyweight Squats or Tempo Squats,3
5,Lower Body A,Romanian Deadlifts (RDLs),Bodyweight Single-Leg RDLs,3
5,Lower Body A,Walking Lunges,Bodyweight Walking or Reverse Lunges,3
5,Lower Body A,Leg Curl Machine or Swiss Ball Hamstring Curls,Hamstring Walkouts,3
5,Lower Body A,Standing Calf Raises,Single-Leg Bodyweight Calf Raises,3
5,Lower Body A,Pallof Press,Side Plank or Towel ISO Press,3
5,Upper Body B,Dead Bugs,Dead Bugs,3
5,Upper Body B,Incline Dumbbell Bench Press,Push-Ups / Incline Push-Ups,3
5,Upper Body B,Barbell or Chest-Supported Rows,Towel Door Rows or Table Inverted Rows,3
5,Upper Body B,Dumbbell Lateral Raises,Wall Lateral ISO Raises or Backpack Raises,3
5,Upper Body B,Face Pulls,Doorframe Rear Delt Flyes / Prone Y-T-W Raises,3
5,Upper Body B,Dumbbell Biceps Curls,Doorframe ISO Curls or Loaded Backpack Curls,3
5,Lower Body B,Trap Bar Deadlifts or Barbell Conventional Deadlifts,Single-Leg Good Mornings or Heavy Object Deadlifts,3
5,Lower Body B,Bulgarian Split Squats,Bodyweight Bulgarian Split Squats,3
5,Lower Body B,Barbell Hip Thrusts or Glute Bridges,Single-Leg Glute Bridges,3
5,Lower Body B,Leg Extension Machine or Goblet Step-Ups,Bodyweight Step-Ups or Sissy Squats,3
5,Lower Body B,Farmer's Carries,Loaded Water Jug / Backpack Carries,3
5,Lower Body B,Hanging Knee Raises or Ab Wheel Rollouts,Floor Leg Raises or Bodyweight Wall Rollouts,3
5,Bonus Upper,Side Plank,Side Plank,3
5,Bonus Upper,Dumbbell or Barbell Shrugs,Backpack Shrugs,3
5,Bonus Upper,Straight-Arm Pulldowns or Dumbbell Pullovers,Floor Pullovers or Towel Straight-Arm Pulls,3
5,Bonus Upper,Lying Triceps Extensions (Skull Crushers),Close-Grip Push-Ups or Backpack Skull Crushers,3
5,Bonus Upper,Hammer Curls,Backpack Hammer Curls,3
5,Bonus Upper,Reverse Wrist Curls,Backpack Reverse Wrist Curls,3
6,Upper Body A,Barbell or Dumbbell Bench Press,Push-Ups / Incline Push-Ups,3
6,Upper Body A,Single-Arm Dumbbell Rows,Towel Door Rows or Table Inverted Rows,3
6,Upper Body A,Overhead Dumbbell Shoulder Press,Pike Push-Ups,3
6,Upper Body A,Lat Pulldowns or Cable Rows,Doorframe Towel Rows or Sliding Floor Lat Pulls,3
6,Upper Body A,Triceps Cable Pushdowns or Overhead Extensions,Bench Dips or Bodyweight Triceps Extensions,3
6,Upper Body A,Plank Hold,Plank Hold,3
6,Lower Body A,Pallof Press,Side Plank or Towel ISO Press,3
6,Lower Body A,Barbell Back Squats or Goblet Squats,Bodyweight Squats or Tempo Squats,3
6,Lower Body A,Romanian Deadlifts (RDLs),Bodyweight Single-Leg RDLs,3
6,Lower Body A,Walking Lunges,Bodyweight Walking or Reverse Lunges,3
6,Lower Body A,Leg Curl Machine or Swiss Ball Hamstring Curls,Hamstring Walkouts,3
6,Lower Body A,Standing Calf Raises,Single-Leg Bodyweight Calf Raises,3
6,Upper Body B,Incline Dumbbell Bench Press,Push-Ups / Incline Push-Ups,3
6,Upper Body B,Barbell or Chest-Supported Rows,Towel Door Rows or Table Inverted Rows,3
6,Upper Body B,Dumbbell Lateral Raises,Wall Lateral ISO Raises or Backpack Raises,3
6,Upper Body B,Face Pulls,Doorframe Rear Delt Flyes / Prone Y-T-W Raises,3
6,Upper Body B,Dumbbell Biceps Curls,Doorframe ISO Curls or Loaded Backpack Curls,3
6,Upper Body B,Dead Bugs,Dead Bugs,3
6,Lower Body B,Hanging Knee Raises or Ab Wheel Rollouts,Floor Leg Raises or Bodyweight Wall Rollouts,3
6,Lower Body B,Trap Bar Deadlifts or Barbell Conventional Deadlifts,Single-Leg Good Mornings or Heavy Object Deadlifts,3
6,Lower Body B,Bulgarian Split Squats,Bodyweight Bulgarian Split Squats,3
6,Lower Body B,Barbell Hip Thrusts or Glute Bridges,Single-Leg Glute Bridges,3
6,Lower Body B,Leg Extension Machine or Goblet Step-Ups,Bodyweight Step-Ups or Sissy Squats,3
6,Lower Body B,Farmer's Carries,Loaded Water Jug / Backpack Carries,3
6,Bonus Upper,Dumbbell or Barbell Shrugs,Backpack Shrugs,3
6,Bonus Upper,Straight-Arm Pulldowns or Dumbbell Pullovers,Floor Pullovers or Towel Straight-Arm Pulls,3
6,Bonus Upper,Lying Triceps Extensions (Skull Crushers),Close-Grip Push-Ups or Backpack Skull Crushers,3
6,Bonus Upper,Hammer Curls,Backpack Hammer Curls,3
6,Bonus Upper,Reverse Wrist Curls,Backpack Reverse Wrist Curls,3
6,Bonus Upper,Side Plank,Side Plank,3
7,Upper Body A,Plank Hold,Plank Hold,3
7,Upper Body A,Barbell or Dumbbell Bench Press,Push-Ups / Incline Push-Ups,3
7,Upper Body A,Single-Arm Dumbbell Rows,Towel Door Rows or Table Inverted Rows,3
7,Upper Body A,Overhead Dumbbell Shoulder Press,Pike Push-Ups,3
7,Upper Body A,Lat Pulldowns or Cable Rows,Doorframe Towel Rows or Sliding Floor Lat Pulls,3
7,Upper Body A,Triceps Cable Pushdowns or Overhead Extensions,Bench Dips or Bodyweight Triceps Extensions,3
7,Lower Body A,Barbell Back Squats or Goblet Squats,Bodyweight Squats or Tempo Squats,3
7,Lower Body A,Romanian Deadlifts (RDLs),Bodyweight Single-Leg RDLs,3
7,Lower Body A,Walking Lunges,Bodyweight Walking or Reverse Lunges,3
7,Lower Body A,Leg Curl Machine or Swiss Ball Hamstring Curls,Hamstring Walkouts,3
7,Lower Body A,Standing Calf Raises,Single-Leg Bodyweight Calf Raises,3
7,Lower Body A,Pallof Press,Side Plank or Towel ISO Press,3
7,Upper Body B,Dead Bugs,Dead Bugs,3
7,Upper Body B,Incline Dumbbell Bench Press,Push-Ups / Incline Push-Ups,3
7,Upper Body B,Barbell or Chest-Supported Rows,Towel Door Rows or Table Inverted Rows,3
7,Upper Body B,Dumbbell Lateral Raises,Wall Lateral ISO Raises or Backpack Raises,3
7,Upper Body B,Face Pulls,Doorframe Rear Delt Flyes / Prone Y-T-W Raises,3
7,Upper Body B,Dumbbell Biceps Curls,Doorframe ISO Curls or Loaded Backpack Curls,3
7,Extra Upper,Dumbbell or Barbell Shrugs,Backpack Shrugs,3
7,Extra Upper,Straight-Arm Pulldowns or Dumbbell Pullovers,Floor Pullovers or Towel Straight-Arm Pulls,3
7,Extra Upper,Lying Triceps Extensions (Skull Crushers),Close-Grip Push-Ups or Backpack Skull Crushers,3
7,Extra Upper,Hammer Curls,Backpack Hammer Curls,3
7,Extra Upper,Reverse Wrist Curls,Backpack Reverse Wrist Curls,3
7,Extra Upper,Hanging Knee Raises or Ab Wheel Rollouts,Floor Leg Raises or Bodyweight Wall Rollouts,3
7,Bonus Core,Dead Bugs,Dead Bugs,3
7,Bonus Core,Side Plank,Side Plank,3
7,Bonus Core,Plank Hold,Plank Hold,3
7,Bonus Core,Pallof Press,Side Plank or Towel ISO Press,3
8,Upper Body A,Side Plank,Side Plank,3
8,Upper Body A,Barbell or Dumbbell Bench Press,Push-Ups / Incline Push-Ups,3
8,Upper Body A,Single-Arm Dumbbell Rows,Towel Door Rows or Table Inverted Rows,3
8,Upper Body A,Overhead Dumbbell Shoulder Press,Pike Push-Ups,3
8,Upper Body A,Lat Pulldowns or Cable Rows,Doorframe Towel Rows or Sliding Floor Lat Pulls,3
8,Upper Body A,Triceps Cable Pushdowns or Overhead Extensions,Bench Dips or Bodyweight Triceps Extensions,3
8,Lower Body B,Trap Bar Deadlifts or Barbell Conventional Deadlifts,Single-Leg Good Mornings or Heavy Object Deadlifts,3
8,Lower Body B,Bulgarian Split Squats,Bodyweight Bulgarian Split Squats,3
8,Lower Body B,Barbell Hip Thrusts or Glute Bridges,Single-Leg Glute Bridges,3
8,Lower Body B,Leg Extension Machine or Goblet Step-Ups,Bodyweight Step-Ups or Sissy Squats,3
8,Lower Body B,Farmer's Carries,Loaded Water Jug / Backpack Carries,3
8,Lower Body B,Plank Hold,Plank Hold,3
8,Upper Body B,Pallof Press,Side Plank or Towel ISO Press,3
8,Upper Body B,Incline Dumbbell Bench Press,Push-Ups / Incline Push-Ups,3
8,Upper Body B,Barbell or Chest-Supported Rows,Towel Door Rows or Table Inverted Rows,3
8,Upper Body B,Dumbbell Lateral Raises,Wall Lateral ISO Raises or Backpack Raises,3
8,Upper Body B,Face Pulls,Doorframe Rear Delt Flyes / Prone Y-T-W Raises,3
8,Upper Body B,Dumbbell Biceps Curls,Doorframe ISO Curls or Loaded Backpack Curls,3
8,Extra Upper,Dumbbell or Barbell Shrugs,Backpack Shrugs,3
8,Extra Upper,Straight-Arm Pulldowns or Dumbbell Pullovers,Floor Pullovers or Towel Straight-Arm Pulls,3
8,Extra Upper,Lying Triceps Extensions (Skull Crushers),Close-Grip Push-Ups or Backpack Skull Crushers,3
8,Extra Upper,Hammer Curls,Backpack Hammer Curls,3
8,Extra Upper,Reverse Wrist Curls,Backpack Reverse Wrist Curls,3
8,Extra Upper,Dead Bugs,Dead Bugs,3
8,Bonus Core,Dead Bugs,Dead Bugs,3
8,Bonus Core,Side Plank,Side Plank,3
8,Bonus Core,Plank Hold,Plank Hold,3
8,Bonus Core,Pallof Press,Side Plank or Towel ISO Press,3
9,Upper Body A,Hanging Knee Raises or Ab Wheel Rollouts,Floor Leg Raises or Bodyweight Wall Rollouts,3
9,Upper Body A,Barbell or Dumbbell Bench Press,Push-Ups / Incline Push-Ups,3
9,Upper Body A,Single-Arm Dumbbell Rows,Towel Door Rows or Table Inverted Rows,3
9,Upper Body A,Overhead Dumbbell Shoulder Press,Pike Push-Ups,3
9,Upper Body A,Lat Pulldowns or Cable Rows,Doorframe Towel Rows or Sliding Floor Lat Pulls,3
9,Upper Body A,Triceps Cable Pushdowns or Overhead Extensions,Bench Dips or Bodyweight Triceps Extensions,3
9,Lower Body A,Barbell Back Squats or Goblet Squats,Bodyweight Squats or Tempo Squats,3
9,Lower Body A,Romanian Deadlifts (RDLs),Bodyweight Single-Leg RDLs,3
9,Lower Body A,Walking Lunges,Bodyweight Walking or Reverse Lunges,3
9,Lower Body A,Leg Curl Machine or Swiss Ball Hamstring Curls,Hamstring Walkouts,3
9,Lower Body A,Standing Calf Raises,Single-Leg Bodyweight Calf Raises,3
9,Lower Body A,Side Plank,Side Plank,3
9,Upper Body B,Plank Hold,Plank Hold,3
9,Upper Body B,Incline Dumbbell Bench Press,Push-Ups / Incline Push-Ups,3
9,Upper Body B,Barbell or Chest-Supported Rows,Towel Door Rows or Table Inverted Rows,3
9,Upper Body B,Dumbbell Lateral Raises,Wall Lateral ISO Raises or Backpack Raises,3
9,Upper Body B,Face Pulls,Doorframe Rear Delt Flyes / Prone Y-T-W Raises,3
9,Upper Body B,Dumbbell Biceps Curls,Doorframe ISO Curls or Loaded Backpack Curls,3
9,Extra Upper,Dumbbell or Barbell Shrugs,Backpack Shrugs,3
9,Extra Upper,Straight-Arm Pulldowns or Dumbbell Pullovers,Floor Pullovers or Towel Straight-Arm Pulls,3
9,Extra Upper,Lying Triceps Extensions (Skull Crushers),Close-Grip Push-Ups or Backpack Skull Crushers,3
9,Extra Upper,Hammer Curls,Backpack Hammer Curls,3
9,Extra Upper,Reverse Wrist Curls,Backpack Reverse Wrist Curls,3
9,Extra Upper,Pallof Press,Side Plank or Towel ISO Press,3
9,Bonus Core,Dead Bugs,Dead Bugs,3
9,Bonus Core,Side Plank,Side Plank,3
9,Bonus Core,Plank Hold,Plank Hold,3
9,Bonus Core,Pallof Press,Side Plank or Towel ISO Press,3
10,Upper Body A,Dead Bugs,Dead Bugs,3
10,Upper Body A,Barbell or Dumbbell Bench Press,Push-Ups / Incline Push-Ups,3
10,Upper Body A,Single-Arm Dumbbell Rows,Towel Door Rows or Table Inverted Rows,3
10,Upper Body A,Overhead Dumbbell Shoulder Press,Pike Push-Ups,3
10,Upper Body A,Lat Pulldowns or Cable Rows,Doorframe Towel Rows or Sliding Floor Lat Pulls,3
10,Upper Body A,Triceps Cable Pushdowns or Overhead Extensions,Bench Dips or Bodyweight Triceps Extensions,3
10,Lower Body B,Trap Bar Deadlifts or Barbell Conventional Deadlifts,Single-Leg Good Mornings or Heavy Object Deadlifts,3
10,Lower Body B,Bulgarian Split Squats,Bodyweight Bulgarian Split Squats,3
10,Lower Body B,Barbell Hip Thrusts or Glute Bridges,Single-Leg Glute Bridges,3
10,Lower Body B,Leg Extension Machine or Goblet Step-Ups,Bodyweight Step-Ups or Sissy Squats,3
10,Lower Body B,Farmer's Carries,Loaded Water Jug / Backpack Carries,3
10,Lower Body B,Hanging Knee Raises or Ab Wheel Rollouts,Floor Leg Raises or Bodyweight Wall Rollouts,3
10,Upper Body B,Side Plank,Side Plank,3
10,Upper Body B,Incline Dumbbell Bench Press,Push-Ups / Incline Push-Ups,3
10,Upper Body B,Barbell or Chest-Supported Rows,Towel Door Rows or Table Inverted Rows,3
10,Upper Body B,Dumbbell Lateral Raises,Wall Lateral ISO Raises or Backpack Raises,3
10,Upper Body B,Face Pulls,Doorframe Rear Delt Flyes / Prone Y-T-W Raises,3
10,Upper Body B,Dumbbell Biceps Curls,Doorframe ISO Curls or Loaded Backpack Curls,3
10,Extra Upper,Dumbbell or Barbell Shrugs,Backpack Shrugs,3
10,Extra Upper,Straight-Arm Pulldowns or Dumbbell Pullovers,Floor Pullovers or Towel Straight-Arm Pulls,3
10,Extra Upper,Lying Triceps Extensions (Skull Crushers),Close-Grip Push-Ups or Backpack Skull Crushers,3
10,Extra Upper,Hammer Curls,Backpack Hammer Curls,3
10,Extra Upper,Reverse Wrist Curls,Backpack Reverse Wrist Curls,3
10,Extra Upper,Plank Hold,Plank Hold,3
10,Bonus Core,Dead Bugs,Dead Bugs,3
10,Bonus Core,Side Plank,Side Plank,3
10,Bonus Core,Plank Hold,Plank Hold,3
10,Bonus Core,Pallof Press,Side Plank or Towel ISO Press,3
11,Upper Body A,Pallof Press,Side Plank or Towel ISO Press,3
11,Upper Body A,Barbell or Dumbbell Bench Press,Push-Ups / Incline Push-Ups,3
11,Upper Body A,Single-Arm Dumbbell Rows,Towel Door Rows or Table Inverted Rows,3
11,Upper Body A,Overhead Dumbbell Shoulder Press,Pike Push-Ups,3
11,Upper Body A,Lat Pulldowns or Cable Rows,Doorframe Towel Rows or Sliding Floor Lat Pulls,3
11,Upper Body A,Triceps Cable Pushdowns or Overhead Extensions,Bench Dips or Bodyweight Triceps Extensions,3
11,Lower Body A,Barbell Back Squats or Goblet Squats,Bodyweight Squats or Tempo Squats,3
11,Lower Body A,Romanian Deadlifts (RDLs),Bodyweight Single-Leg RDLs,3
11,Lower Body A,Walking Lunges,Bodyweight Walking or Reverse Lunges,3
11,Lower Body A,Leg Curl Machine or Swiss Ball Hamstring Curls,Hamstring Walkouts,3
11,Lower Body A,Standing Calf Raises,Single-Leg Bodyweight Calf Raises,3
11,Lower Body A,Dead Bugs,Dead Bugs,3
11,Upper Body B,Hanging Knee Raises or Ab Wheel Rollouts,Floor Leg Raises or Bodyweight Wall Rollouts,3
11,Upper Body B,Incline Dumbbell Bench Press,Push-Ups / Incline Push-Ups,3
11,Upper Body B,Barbell or Chest-Supported Rows,Towel Door Rows or Table Inverted Rows,3
11,Upper Body B,Dumbbell Lateral Raises,Wall Lateral ISO Raises or Backpack Raises,3
11,Upper Body B,Face Pulls,Doorframe Rear Delt Flyes / Prone Y-T-W Raises,3
11,Upper Body B,Dumbbell Biceps Curls,Doorframe ISO Curls or Loaded Backpack Curls,3
11,Extra Upper,Dumbbell or Barbell Shrugs,Backpack Shrugs,3
11,Extra Upper,Straight-Arm Pulldowns or Dumbbell Pullovers,Floor Pullovers or Towel Straight-Arm Pulls,3
11,Extra Upper,Lying Triceps Extensions (Skull Crushers),Close-Grip Push-Ups or Backpack Skull Crushers,3
11,Extra Upper,Hammer Curls,Backpack Hammer Curls,3
11,Extra Upper,Reverse Wrist Curls,Backpack Reverse Wrist Curls,3
11,Extra Upper,Side Plank,Side Plank,3
11,Bonus Core,Dead Bugs,Dead Bugs,3
11,Bonus Core,Side Plank,Side Plank,3
11,Bonus Core,Plank Hold,Plank Hold,3
11,Bonus Core,Pallof Press,Side Plank or Towel ISO Press,3
12,Upper Body A,Plank Hold,Plank Hold,3
12,Upper Body A,Barbell or Dumbbell Bench Press,Push-Ups / Incline Push-Ups,3
12,Upper Body A,Single-Arm Dumbbell Rows,Towel Door Rows or Table Inverted Rows,3
12,Upper Body A,Overhead Dumbbell Shoulder Press,Pike Push-Ups,3
12,Upper Body A,Lat Pulldowns or Cable Rows,Doorframe Towel Rows or Sliding Floor Lat Pulls,3
12,Upper Body A,Triceps Cable Pushdowns or Overhead Extensions,Bench Dips or Bodyweight Triceps Extensions,3
12,Lower Body B,Trap Bar Deadlifts or Barbell Conventional Deadlifts,Single-Leg Good Mornings or Heavy Object Deadlifts,3
12,Lower Body B,Bulgarian Split Squats,Bodyweight Bulgarian Split Squats,3
12,Lower Body B,Barbell Hip Thrusts or Glute Bridges,Single-Leg Glute Bridges,3
12,Lower Body B,Leg Extension Machine or Goblet Step-Ups,Bodyweight Step-Ups or Sissy Squats,3
12,Lower Body B,Farmer's Carries,Loaded Water Jug / Backpack Carries,3
12,Lower Body B,Pallof Press,Side Plank or Towel ISO Press,3
12,Upper Body B,Dead Bugs,Dead Bugs,3
12,Upper Body B,Incline Dumbbell Bench Press,Push-Ups / Incline Push-Ups,3
12,Upper Body B,Barbell or Chest-Supported Rows,Towel Door Rows or Table Inverted Rows,3
